id	text	original	pos	neg	senti_score	new	matched
8132799	디자인 배우 학생 외국 디자이너 일군 전통 통하 발전하 가 문화 산업 부럽 사실 우리나라 그 어렵 시절 끝 열정 지키 노라노 같 전통 있 같 사람 꿈 꾸 이루 나가 있 감사하	1	5	1	4	1.0	True
4655635	폴리스스토리 시리즈 뉴 없 최고	1	1	0	1	1.0	True
9251303	와 연기 진짜 쩔 지루하 생각하 몰입하 보 그래 이런 진짜 영화	1	0	1	-1	0.0	False
10067386	안개 자욱하 밤하늘 뜨 초승달 같 영화	1	0	0	0	0.0	False
2190435	사랑 해보 사람 처음 끝 웃 있 영화	1	2	0	2	1.0	True
9279041	완전 감동 다시 보 감동	1	1	0	1	1.0	True
7865729	개들 전쟁 나오 나오 1빠 보	1	0	1	-1	0.0	False
7477618	굿	1	0	0	0	0.0	False
9250537	바보 병	1	0	0	0	0.0	False
9730759	나이 같 영화 지금 보 감동적 하지만 훗날 다시 보 대사 하나하나 그 감정 완벽 하 이해하 같	1	1	0	1	1.0	True
640794	재미있	1	1	0	1	1.0	True
9537008	고질라 무 귀엽 ㅋㅋ	1	1	0	1	1.0	True
4911311	영화 오페라 하 작품 극단적 평 갈리 어쩌 없	1	0	0	0	0.0	False
6686673	반전 좋 ^^	1	1	0	1	1.0	True
9034036	평점 왜 낮 긴장감 스릴감 진짜 최고 진짜 전장 느끼 공포 생생하 전하	1	2	1	1	1.0	True
979683	네고시에이터 소재 같 아무런 관련 없	1	0	0	0	0.0	False
165498	단연 최고	1	1	0	1	1.0	True
8703997	가 갈수록 더욱 빠지 밀회 화이팅	1	0	1	-1	0.0	False
9468781	어 생각 없이 보 상당하 수작 일본 영화 최고 마음 강렬하 임팩트 일품	1	1	0	1	1.0	True
5185638	오랜만 보 제대로 되 범죄 스릴러	1	0	1	-1	0.0	False
10221267	그런 때가 있 사랑하 도 그저 좋아하 마디 말 꺼내 벅차 밤 잠 설치 때 교복 남은 션 자 볼펜 자국 역시 미처 다 전하 못하 마음 형태	1	3	1	2	1.0	True
486781	마지막 씬 잊 없	1	0	1	-1	0.0	False
7776793	강압적 용서 세뇌 용서 대하 비판	1	0	1	-1	0.0	False
9694764	중세 시대 명작 굿 평점 왜 이러하	1	0	0	0	0.0	False
10232169	시간 영상 존재하 죽기 전 꼭 한번 보 아름답 슬프 제니퍼 코넬리 눈부시 아역 시절 로버트 드니로 마지막 웃 장면 정말 가슴속 영원히 기억되 최고 명작	1	3	1	2	1.0	True
8515083	사람 어떻하 저런 짓 하 있 는지 ㅡㅡ 보 다 화나	1	0	2	-2	0.0	False
9758264	인간 잠재되 악마 여러 시간 공간 속 존속하 이 다큐 엉뚱하 광적 재현하	1	0	1	-1	0.0	False
9281669	최고 일 동안 쉬 틈틈이 잠 줄이 가 보 여운 남	1	1	1	0	0.0	False
7517650	실화 더욱 충격 다시 일어나 서 안되 경각심 일깨우 주 영화	1	0	1	-1	0.0	False
4339983	존 그라 샴 작품 한 보 가치 있	1	1	0	1	1.0	True
10225238	농아 인문 대하 알 하	1	0	0	0	0.0	False
7295706	때 재미있 보 ㅋㅋ 이정재 이범수 ㅋㅋ ㅋㅋ	1	1	0	1	1.0	True
5161286	친구 우정 매우 감동적	1	1	0	1	1.0	True
8906022	굿 굿 굿 또 해라 또 하 제발 ㅠㅠ	1	0	0	0	0.0	False
8323152	아 재미있 이 말 너무 어울리	1	1	1	0	0.0	False
10124911	제이크 질렌할 대체 못하 연기	1	0	1	-1	0.0	False
9852390	보 내내 입가 미소 샤방샤방 하 영화	1	1	0	1	1.0	True
1421412	원표 왜 조연 이양 젤 많이 나오 ㅋㅋ 재미있	1	1	0	1	1.0	True
6809191	마치 바다 속 아쿠아리움 속 들어가 느낌 영화 어린 자녀 강추	1	0	0	0	0.0	False
5717439	정의 세우 콜트 노동자 이야기	1	1	0	1	1.0	True
8824828	이 영화 브라질 가 마음 사라지	1	0	1	-1	0.0	False
5247378	남자 영화 내내 마음 울리 그리고 좋아하 두 여배우	1	1	0	1	1.0	True
8719068	도법 멤버 모두 기대 되	1	1	0	1	1.0	True
1111967	정말 재미있 본 영화 액션 최고	1	2	0	2	1.0	True
10142929	남자 라 그렇 겁나 긴장감 있 흥미진진하 ㄷㄷ 그렇 워낙 격투 씬 좋아하 ㅋㅋ ㅋ 그냥 생각 없이 집 스마트 티비 보 재미있 보 무슨 영화 모르 암살 나오 이정재 있 걍 보 ㅋㅋ 하여튼 너무 재미있 보	1	2	2	0	0.0	False
10050104	인정하 인정하 년 북한 살 하 좋 왜 목숨 걸 대한민국 오 어 납득 나불거리 종북 박평식 같 좋 같 년	1	2	1	1	1.0	True
10082134	잊 수 없 되 비 내리 보이 시작하	1	0	1	-1	0.0	False
6825477	반갑 얼굴 ㅋㅋ ㅋ 여주인공 너무 매력적 유쾌하	1	1	1	0	0.0	False
10272889	내용 너무 좋 ㅎ	1	1	1	0	0.0	False
8715095	정말 요즘 아이돌 다 배우 해먹 하 정도 연기 잘 하	1	1	1	0	0.0	False
87993	정말 재밌게 받 수	1	0	0	0	0.0	False
3454102	탱고 음악 감동 밀려오	1	1	0	1	1.0	True
8667840	평생 못 보 후회하 뻔하 따뜻하 명작	1	0	1	-1	0.0	False
8619006	이런 드라마 많이 나오 좋 생각하 많 영상미 아름답 캐릭터 다 매력 있 여러 가지 다 매력 있 드라마	1	3	0	3	1.0	True
1923466	정말 최고 마지막 결말 싫 ㅠ	1	1	1	0	0.0	False
9985813	너무 슬프 왜 이제 알 되 영화	1	0	2	-2	0.0	False
10151722	잔잔하 재미 있 좋	1	1	0	1	1.0	True
1516658	보 영화 영순위	1	0	0	0	0.0	False
8255656	재미있 재미있	1	1	0	1	1.0	True
4469803	상당히 훌륭하 영화	1	0	0	0	0.0	False
6212210	역시 신동엽 ㅋ 순간 캐치 탁 얄밉 웃기 미워하 없 감탄 이영자 함 대박 왠 이동욱	1	0	0	0	0.0	False
1364440	인생 영화	1	0	0	0	0.0	False
9049119	전작 비하 떨어지 사실 쓰레기 한국 영화 별로 없 헐 너무하	1	0	3	-3	0.0	False
2549508	지금 다소 진부하 수 있 그 당시 눈물 한 사발 흘리 하 영화	1	0	1	-1	0.0	False
3017342	신부 사명감 처절히 실천하 제리 자신 부정하 로키 우정	1	0	1	-1	0.0	False
6784667	원주율 메이커	1	0	0	0	0.0	False
9611384	추석 때 특선 영화 하 보 진짜 가족 보 좋 영화	1	1	0	1	1.0	True
10092383	아기 첫 영화 너무너무 잘 선택하 같 ㅎ 굳	1	2	0	2	1.0	True
5784847	재미있	1	1	0	1	1.0	True
9421346	생각 조합 같	1	0	0	0	0.0	False
9814476	바로 시대 어머니	1	0	0	0	0.0	False
